timestamp,Infrared to Red Signal Ratio
05/14/24 00:00:29,37
05/14/24 00:01:29,63
05/14/24 00:02:29,20
05/14/24 00:03:29,61
05/14/24 00:04:29,-8
05/14/24 00:05:29,58
05/14/24 00:06:29,-17
05/14/24 00:07:29,61
05/14/24 00:08:29,26
05/14/24 00:09:29,3
05/14/24 00:10:29,0
05/14/24 00:11:31,14
05/14/24 00:12:31,0
05/14/24 00:13:31,-44
05/14/24 00:14:31,10
05/14/24 00:15:31,47
05/14/24 00:16:31,2
05/14/24 00:17:31,40
05/14/24 00:18:31,-4
05/14/24 00:19:31,38
05/14/24 00:20:31,12
05/14/24 00:21:31,21
05/14/24 00:22:31,0
05/14/24 00:23:31,-8
05/14/24 00:24:31,0
05/14/24 00:25:31,27
05/14/24 00:26:34,28
05/14/24 00:27:34,-16
05/14/24 00:28:34,0
05/14/24 00:29:34,0
05/14/24 00:30:34,43
05/14/24 00:31:34,-2
05/14/24 00:32:34,30
05/14/24 00:33:34,-12
05/14/24 00:34:34,-5
05/14/24 00:35:34,10
05/14/24 00:36:34,-49
05/14/24 00:37:34,0
05/14/24 00:38:34,6
05/14/24 00:39:34,0
05/14/24 00:40:34,-92
05/14/24 00:41:37,-26
05/14/24 00:42:37,0
05/14/24 00:43:37,17
05/14/24 00:44:37,-13
05/14/24 00:45:37,18
05/14/24 00:46:37,16
05/14/24 00:47:37,22
05/14/24 00:48:37,12
05/14/24 00:49:37,8
05/14/24 00:50:37,7
05/14/24 00:51:37,14
05/14/24 00:52:37,45
05/14/24 00:53:37,0
05/14/24 00:54:37,14
05/14/24 00:55:37,-1
05/14/24 00:56:40,79
05/14/24 00:57:40,10
05/14/24 00:58:40,2
05/14/24 00:59:40,1
05/14/24 01:00:40,-5
05/14/24 01:01:40,0
05/14/24 01:02:40,-13
05/14/24 01:03:40,71
05/14/24 01:04:40,-5
05/14/24 01:05:40,52
05/14/24 01:06:40,41
05/14/24 01:07:40,34
05/14/24 01:08:40,6
05/14/24 01:09:40,0
05/14/24 01:10:40,-8
05/14/24 01:11:43,7
05/14/24 01:12:43,-23
05/14/24 01:13:43,-34
05/14/24 01:14:43,2
05/14/24 01:15:43,0
05/14/24 01:16:43,7
05/14/24 01:17:43,23
05/14/24 01:18:43,0
05/14/24 01:19:43,-3
05/14/24 01:20:43,34
05/14/24 01:21:43,52
05/14/24 01:22:43,12
05/14/24 01:23:43,0
05/14/24 01:24:43,4
05/14/24 01:25:43,-22
05/14/24 01:26:46,11
05/14/24 01:27:46,0
05/14/24 01:28:46,13
05/14/24 01:29:46,-20
05/14/24 01:30:46,-13
05/14/24 01:31:46,7
05/14/24 01:32:46,34
05/14/24 01:33:46,0
05/14/24 01:34:46,-2
05/14/24 01:35:46,0
05/14/24 01:36:46,-17
05/14/24 01:37:46,0
05/14/24 01:38:46,-6
05/14/24 01:39:46,21
05/14/24 01:40:46,0
05/14/24 01:41:46,2
05/14/24 01:42:46,0
05/14/24 01:43:46,37
05/14/24 01:44:46,40
05/14/24 01:45:46,43
05/14/24 01:46:46,5
05/14/24 01:47:46,0
05/14/24 01:48:46,0
05/14/24 01:49:46,10
05/14/24 01:50:49,4
05/14/24 01:51:49,6
05/14/24 01:52:49,21
05/14/24 01:53:49,12
05/14/24 01:54:49,4
05/14/24 01:55:49,1
05/14/24 01:56:49,0
05/14/24 01:57:49,0
05/14/24 01:58:49,43
05/14/24 01:59:49,-19
05/14/24 02:00:49,0
05/14/24 02:01:49,0
05/14/24 02:02:49,-7
05/14/24 02:03:49,-3
05/14/24 02:04:49,-4
05/14/24 02:05:50,-8
05/14/24 02:06:50,0
05/14/24 02:07:50,14
05/14/24 02:08:50,0
05/14/24 02:09:50,0
05/14/24 02:10:50,-2
05/14/24 02:11:50,39
05/14/24 02:12:50,0
05/14/24 02:13:50,7
05/14/24 02:14:50,23
05/14/24 02:15:50,-1
05/14/24 02:16:50,0
05/14/24 02:17:50,13
05/14/24 02:18:50,0
05/14/24 02:19:50,-10
05/14/24 02:20:51,34
05/14/24 02:21:51,7
05/14/24 02:22:51,0
05/14/24 02:23:51,0
05/14/24 02:24:51,0
05/14/24 02:25:51,61
05/14/24 02:26:51,-1
05/14/24 02:27:51,4
05/14/24 02:28:51,-14
05/14/24 02:29:51,-4
05/14/24 02:30:51,2
05/14/24 02:31:51,0
05/14/24 02:32:51,2
05/14/24 02:33:51,3
05/14/24 02:34:51,-65
05/14/24 02:35:52,8
05/14/24 02:36:52,0
05/14/24 02:37:52,-9
05/14/24 02:38:52,-26
05/14/24 02:39:52,17
05/14/24 02:40:52,27
05/14/24 02:41:52,46
05/14/24 02:42:52,12
05/14/24 02:43:52,3
05/14/24 02:44:52,-15
05/14/24 02:45:52,8
05/14/24 02:46:52,0
05/14/24 02:47:52,0
05/14/24 02:48:52,25
05/14/24 02:49:52,6
05/14/24 02:50:55,-16
05/14/24 02:51:55,39
05/14/24 02:52:55,26
05/14/24 02:53:55,0
05/14/24 02:54:55,11
05/14/24 02:55:55,16
05/14/24 02:56:55,8
05/14/24 02:57:55,9
05/14/24 02:58:55,30
05/14/24 02:59:55,0
05/14/24 03:00:55,43
05/14/24 03:01:55,0
05/14/24 03:02:55,0
05/14/24 03:03:55,-12
05/14/24 03:04:55,-39
05/14/24 03:05:56,0
05/14/24 03:06:56,30
05/14/24 03:07:56,30
05/14/24 03:08:56,21
05/14/24 03:09:56,-24
05/14/24 03:10:56,-5
05/14/24 03:11:56,4
05/14/24 03:12:56,41
05/14/24 03:13:56,13
05/14/24 03:14:56,8
05/14/24 03:15:56,-7
05/14/24 03:16:56,0
05/14/24 03:17:56,0
05/14/24 03:18:56,-18
05/14/24 03:19:56,8
05/14/24 03:20:59,50
05/14/24 03:21:59,35
05/14/24 03:22:59,42
05/14/24 03:23:59,3
05/14/24 03:24:59,0
05/14/24 03:25:59,-16
05/14/24 03:26:59,0
05/14/24 03:27:59,15
05/14/24 03:28:59,-3
05/14/24 03:29:59,12
05/14/24 03:30:59,-34
05/14/24 03:31:59,31
05/14/24 03:32:59,46
05/14/24 03:33:59,-5
05/14/24 03:34:59,8
05/14/24 03:36:00,-1
05/14/24 03:37:00,1
05/14/24 03:38:00,0
05/14/24 03:39:00,18
05/14/24 03:40:00,3
05/14/24 03:41:00,56
05/14/24 03:42:00,23
05/14/24 03:43:00,13
05/14/24 03:44:00,28
05/14/24 03:45:00,23
05/14/24 03:46:00,4
05/14/24 03:47:00,0
05/14/24 03:48:00,8
05/14/24 03:49:00,14
05/14/24 03:50:00,37
05/14/24 03:51:02,-17
05/14/24 03:52:02,4
05/14/24 03:53:02,-50
05/14/24 03:54:02,-17
05/14/24 03:55:02,-8
05/14/24 03:56:02,0
05/14/24 03:57:02,0
05/14/24 03:58:02,0
05/14/24 03:59:02,0
05/14/24 04:00:02,0
05/14/24 04:01:02,0
05/14/24 04:02:02,0
05/14/24 04:03:02,0
05/14/24 04:04:02,0
05/14/24 04:05:02,0
05/14/24 04:06:02,0
05/14/24 04:07:02,0
05/14/24 04:08:02,-13
05/14/24 04:09:02,0
05/14/24 04:10:02,16
05/14/24 04:11:02,31
05/14/24 04:12:02,0
05/14/24 04:13:02,0
05/14/24 04:14:02,0
05/14/24 04:15:02,0
05/14/24 04:16:02,0
05/14/24 04:17:02,39
05/14/24 04:18:02,66
05/14/24 04:19:02,39
05/14/24 04:20:02,61
05/14/24 04:21:03,22
05/14/24 04:22:03,47
05/14/24 04:23:03,30
05/14/24 04:24:03,17
05/14/24 04:25:03,-12
05/14/24 04:26:03,-29
05/14/24 04:27:03,30
05/14/24 04:28:03,14
05/14/24 04:29:03,-13
05/14/24 04:30:03,-7
05/14/24 04:31:03,0
05/14/24 04:32:03,4
05/14/24 04:33:03,0
05/14/24 04:34:03,51
05/14/24 04:35:03,-8
05/14/24 04:36:05,34
05/14/24 04:37:05,-34
05/14/24 04:38:05,-17
05/14/24 04:39:05,-20
05/14/24 04:40:05,0
05/14/24 04:41:05,0
05/14/24 04:42:05,10
05/14/24 04:43:05,0
05/14/24 04:44:05,0
05/14/24 04:45:05,0
05/14/24 04:46:05,0
05/14/24 04:47:05,0
05/14/24 04:48:05,0
05/14/24 04:49:05,-17
05/14/24 04:50:05,0
05/14/24 04:51:06,0
05/14/24 04:52:06,0
05/14/24 04:53:06,0
05/14/24 04:54:06,0
05/14/24 04:55:06,-7
05/14/24 04:56:06,0
05/14/24 04:57:06,-14
05/14/24 04:58:06,0
05/14/24 04:59:06,0
05/14/24 05:00:06,39
05/14/24 05:01:06,-13
05/14/24 05:02:06,34
05/14/24 05:03:06,0
05/14/24 05:04:06,0
05/14/24 05:05:06,0
05/14/24 05:06:08,0
05/14/24 05:07:08,32
05/14/24 05:08:08,0
05/14/24 05:09:08,-27
05/14/24 05:10:08,-22
05/14/24 05:11:08,25
05/14/24 05:12:08,0
05/14/24 05:13:08,-4
05/14/24 05:14:08,-15
05/14/24 05:15:08,-21
05/14/24 05:16:08,1
