timestamp,Infrared to Red Signal Ratio
12/27/20 04:04:31,16
12/27/20 04:12:01,21
12/27/20 04:13:02,-37
12/27/20 04:14:02,-1
12/27/20 04:15:02,3
12/27/20 04:16:02,0
12/27/20 04:17:02,-1
12/27/20 04:18:02,-9
12/27/20 04:19:02,-10
12/27/20 04:20:03,-29
12/27/20 04:21:03,-9
12/27/20 04:22:03,-1
12/27/20 04:23:03,-2
12/27/20 04:24:03,0
12/27/20 04:25:03,-2
12/27/20 04:26:04,-5
12/27/20 04:27:04,-1
12/27/20 04:28:04,-7
12/27/20 04:29:04,-3
12/27/20 04:30:04,-6
12/27/20 04:31:04,-28
12/27/20 04:32:04,-10
12/27/20 04:33:05,-1
12/27/20 04:34:05,-21
12/27/20 04:35:05,1
12/27/20 04:36:05,-1
12/27/20 04:37:05,-1
12/27/20 04:38:05,-7
12/27/20 04:39:05,-30
12/27/20 04:40:06,-7
12/27/20 04:41:06,-2
12/27/20 04:42:06,-30
12/27/20 04:43:06,-11
12/27/20 04:44:06,-9
12/27/20 04:45:06,-10
12/27/20 04:46:07,-7
12/27/20 04:47:07,-6
12/27/20 04:48:07,0
12/27/20 04:49:07,-1
12/27/20 04:50:07,-21
12/27/20 04:51:07,1
12/27/20 04:52:07,1
12/27/20 04:53:08,-1
12/27/20 04:54:08,-11
12/27/20 04:55:08,-1
12/27/20 04:56:08,0
12/27/20 04:57:08,-7
12/27/20 04:58:08,2
12/27/20 04:59:09,-10
12/27/20 05:00:09,-2
12/27/20 05:01:09,-5
12/27/20 05:02:09,-5
12/27/20 05:03:09,-1
12/27/20 05:04:09,-4
12/27/20 05:05:09,-6
12/27/20 05:06:10,-2
12/27/20 05:07:10,-1
12/27/20 05:08:10,0
12/27/20 05:09:10,-1
12/27/20 05:10:10,-41
12/27/20 05:11:10,-7
12/27/20 05:12:10,-17
12/27/20 05:13:11,-1
12/27/20 05:14:11,-1
12/27/20 05:15:11,-1
12/27/20 05:16:11,0
12/27/20 05:17:11,11
12/27/20 05:18:11,-3
12/27/20 05:19:12,1
12/27/20 05:20:12,-10
12/27/20 05:21:12,-1
12/27/20 05:22:12,-3
12/27/20 05:23:12,-2
12/27/20 05:24:12,-2
12/27/20 05:25:12,24
12/27/20 05:26:13,0
12/27/20 05:27:13,1
12/27/20 05:28:13,-6
12/27/20 05:29:13,-13
12/27/20 05:30:13,0
12/27/20 05:31:13,-37
12/27/20 05:32:13,-1
12/27/20 05:33:14,11
12/27/20 05:34:14,3
12/27/20 05:35:14,-45
12/27/20 05:36:14,-4
12/27/20 05:37:14,-4
12/27/20 05:38:14,-3
12/27/20 05:39:15,-8
12/27/20 05:40:15,-1
12/27/20 05:41:15,0
12/27/20 05:42:15,-7
12/27/20 05:43:15,-1
12/27/20 05:44:15,3
12/27/20 05:45:15,1
12/27/20 05:46:16,-1
12/27/20 05:47:16,-2
12/27/20 05:48:16,-1
12/27/20 05:49:16,0
12/27/20 05:50:16,0
12/27/20 05:51:16,1
12/27/20 05:52:16,-1
12/27/20 05:53:17,-19
12/27/20 05:54:17,-1
12/27/20 05:55:17,-1
12/27/20 05:56:17,-1
12/27/20 05:57:17,4
12/27/20 05:58:17,0
12/27/20 05:59:18,6
12/27/20 06:00:18,-1
12/27/20 06:01:18,-4
12/27/20 06:02:18,-4
12/27/20 06:03:18,-2
12/27/20 06:04:18,-8
12/27/20 06:05:18,-10
12/27/20 06:06:19,-1
12/27/20 06:07:19,-4
12/27/20 06:08:19,0
12/27/20 06:09:19,0
12/27/20 06:10:19,3
12/27/20 06:11:19,0
12/27/20 06:12:19,-3
12/27/20 06:13:20,-1
12/27/20 06:14:20,-5
12/27/20 06:15:20,0
12/27/20 06:16:20,-1
12/27/20 06:17:20,-6
12/27/20 06:18:20,-1
12/27/20 06:19:21,-7
12/27/20 06:20:21,0
12/27/20 06:21:21,0
