exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events,activity_type_probabilities,autodetected_confirmed,autodetected_start_timestamp,autodetected_end_timestamp,autodetected_utc_offset,autodetected_activity_name,autodetected_sensor_based_activity_name,deletion_reason,activity_label,suggested_start_timestamp,suggested_end_timestamp,reconciliation_status
1019223050216545816,2025-08-09 15:31:09+0000,2025-08-09 15:51:37+0000,+02:00,2025-08-09 15:59:01+0000,2025-08-09 15:59:01+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1029933284065880456,2025-08-12 13:49:58+0000,2025-08-12 14:10:27+0000,+02:00,2025-08-12 14:19:14+0000,2025-08-12 14:19:14+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1093650356010789208,2025-01-07 15:51:04+0000,2025-01-07 16:16:54+0000,+01:00,2025-01-07 16:11:14+0000,2025-01-07 16:26:20+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,178,1306,952851,0,108,146,0,78592,683,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
1117180543359124080,2025-07-24 08:04:09+0000,2025-07-24 08:36:00+0000,+02:00,2025-07-24 08:14:57+0000,2025-07-24 08:45:14+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,243,2017,1431070,0,112,125,0,95616,423,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
1280229376454594456,2025-01-12 09:52:26+0000,2025-01-12 10:34:02+0000,+01:00,2025-01-12 10:12:32+0000,2025-01-12 11:09:05+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,261,2123,1497023,0,91,128,0,76672,454,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
1430586512382228504,2025-01-11 12:17:48+0000,2025-01-11 12:41:41+0000,+01:00,2025-01-11 16:06:14+0000,2025-01-11 16:06:14+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,143,1020,736765,0,93,130,0,65792,385,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
1483292545219178016,2025-01-31 17:11:59+0000,2025-01-31 17:30:39+0000,-05:00,2025-01-31 17:22:20+0000,2025-01-31 17:37:27+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,155,1214,809406,0,102,115,0,92544,421,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
152908965572135368,2024-12-09 13:41:41+0000,2024-12-09 14:23:25+0000,+01:00,2024-12-09 14:03:19+0000,2024-12-09 14:48:32+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,282,2380,1667320,0,100,123,0,85248,432,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
1593878985866177192,2025-08-26 11:22:27+0000,2025-08-26 12:01:38+0000,-04:00,2025-08-26 12:03:16+0000,2025-08-26 12:03:16+0000,Swim,TRACKER,25,METER,,UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,0,25,METER,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
1662429618533924992,2025-08-03 11:29:26+0000,2025-08-03 11:53:20+0000,+02:00,2025-08-03 11:58:05+0000,2025-08-03 11:58:05+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1670271416424910344,2025-01-18 12:52:13+0000,2025-01-18 13:25:51+0000,+01:00,2025-01-21 11:41:30+0000,2025-01-21 11:41:30+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,255,2211,1602156,0,96,142,0,101504,425,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
1708839797319424688,2025-01-21 11:52:45+0000,2025-01-21 12:11:40+0000,+00:00,2025-01-21 12:28:29+0000,2025-01-21 12:28:29+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
1948148302374639344,2024-12-15 15:15:59+0000,2024-12-15 15:39:04+0000,+01:00,2024-12-15 15:26:39+0000,2024-12-15 15:41:55+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,151,756,541820,0,111,134,0,49664,434,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
1973752114438278512,2025-08-05 08:27:00+0000,2025-08-05 08:40:44+0000,+02:00,2025-08-05 08:44:08+0000,2025-08-05 08:44:08+0000,Swim,TRACKER,25,METER,,UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,0,25,METER,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2267288182699309768,2024-12-13 14:48:34+0000,2024-12-13 15:12:06+0000,+01:00,2024-12-13 14:56:59+0000,2024-12-13 15:27:14+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,171,1345,988906,0,100,140,0,89600,657,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2283643530460301616,2025-01-20 10:57:42+0000,2025-01-20 11:48:14+0000,+01:00,2025-01-21 11:41:35+0000,2025-01-21 11:41:35+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,241,1762,1306625,0,88,114,0,55040,432,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2289077446638188504,2024-12-04 11:12:04+0000,2024-12-04 11:47:37+0000,+01:00,2024-12-04 11:44:06+0000,2024-12-04 11:59:10+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,282,1972,1410071,0,114,132,0,84480,425,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2397074568348602904,2024-12-05 10:04:19+0000,2024-12-05 10:48:08+0000,+01:00,2024-12-05 10:13:17+0000,2024-12-05 10:58:45+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,430,4012,2975118,0,112,133,0,144512,443,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2543606718180836504,2024-12-15 22:16:57+0000,2024-12-15 22:38:36+0000,+01:00,2024-12-15 22:35:47+0000,2024-12-15 22:50:54+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,163,1169,838664,0,112,129,0,82560,445,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
257456825244469336,2024-12-16 15:57:28+0000,2024-12-16 16:20:40+0000,+01:00,2024-12-16 16:10:52+0000,2024-12-16 16:25:59+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,138,753,511750,0,108,124,0,46976,427,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2709811548116994784,2025-08-10 07:06:32+0000,2025-08-10 07:28:16+0000,+02:00,2025-08-10 07:31:20+0000,2025-08-10 07:31:20+0000,Swim,TRACKER,25,METER,,UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,0,25,METER,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2742184291814018160,2024-12-13 15:19:52+0000,2024-12-13 16:04:36+0000,+01:00,2024-12-13 15:42:21+0000,2024-12-13 16:12:39+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,300,2251,1506594,0,99,125,0,71808,470,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
274441014123343272,2024-12-06 08:04:46+0000,2024-12-06 08:54:49+0000,+01:00,2024-12-06 08:28:18+0000,2024-12-06 09:14:32+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,541,4222,3033500,0,122,147,0,129408,494,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2865615241527136192,2024-12-13 08:23:45+0000,2024-12-13 08:47:46+0000,+01:00,2024-12-13 08:38:38+0000,2024-12-13 08:55:11+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,137,976,671773,0,94,118,0,59648,441,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2934122867075314216,2025-07-30 16:57:38+0000,2025-07-30 17:28:37+0000,+02:00,2025-07-30 17:14:42+0000,2025-07-30 17:29:52+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,236,1907,1320851,0,102,116,0,90880,466,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2950152552723791872,2024-12-09 16:20:45+0000,2024-12-09 16:46:06+0000,+01:00,2024-12-09 16:34:34+0000,2024-12-09 16:49:41+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,188,1303,893719,0,111,126,0,75136,418,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
2963971984024740392,2024-12-16 10:06:11+0000,2024-12-16 10:28:20+0000,+01:00,2024-12-16 10:44:00+0000,2024-12-16 10:44:00+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,146,1249,899398,0,101,114,0,86528,461,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
