timestamp,body fat percentage,data source
2017-10-09T06:21:51Z,34.894,Withings Fitbit 3P Web API
2017-10-11T05:24:55Z,38.933,Withings Fitbit 3P Web API
2017-10-12T05:57:28Z,39.718,Withings Fitbit 3P Web API
2017-10-16T05:13:07Z,36.801,Withings Fitbit 3P Web API
2017-10-18T05:00:21Z,38.136,Withings Fitbit 3P Web API
2017-10-18T05:12:11Z,37.887,Withings Fitbit 3P Web API
2017-10-19T05:33:50Z,37.541,Withings Fitbit 3P Web API
2017-10-20T03:44:37Z,35.269,Withings Fitbit 3P Web API
2017-10-21T09:14:25Z,35.178,Withings Fitbit 3P Web API
2017-10-24T05:22:53Z,36.618,Withings Fitbit 3P Web API
2017-10-25T05:27:14Z,37.098,Withings Fitbit 3P Web API
2017-10-26T12:20:37Z,38.328,Withings Fitbit 3P Web API
