timestamp,deep sleep stats - milli breaths per minute,deep sleep stats - standard deviation milli breaths per minute,deep sleep stats - signal to noise,light sleep stats - milli breaths per minute,light sleep stats - standard deviation milli breaths per minute,light sleep stats - signal to noise,rem sleep stats - milli breaths per minute,rem sleep stats - standard deviation milli breaths per minute,rem sleep stats - signal to noise,full sleep stats - milli breaths per minute,full sleep stats - standard deviation milli breaths per minute,full sleep stats - signal to noise,data source
2022-07-01T12:42:30Z,16.8,1.1,5.002,15.6,1.0,4.921,-1.0,0.0,2.033,16.8,1.1,5.002,Fitbit App
2022-07-02T10:27:00Z,19.2,0.8,5.479,19.8,2.7,8.818,-1.0,0.0,1.531,19.2,0.8,5.479,Fitbit App
2022-07-03T06:01:30Z,-1.0,0.0,2.053,-1.0,0.0,1.757,-1.0,0.0,1.447,0.0,0.0,2.053,Fitbit App
2022-07-03T13:26:30Z,18.4,0.9,6.655,18.0,1.8,9.164,-1.0,0.0,1.435,18.4,0.9,6.655,Fitbit App
2022-07-04T13:14:00Z,19.2,0.6,5.277,17.6,2.3,6.513,-1.0,0.0,1.809,19.2,0.6,5.277,Fitbit App
2022-07-05T02:25:00Z,19.0,0.7,4.82,-1.0,0.0,2.207,-1.0,0.0,2.158,19.0,0.7,4.82,Fitbit App
2022-07-05T13:35:00Z,18.2,1.6,6.145,-1.0,0.0,1.523,-1.0,0.0,1.588,18.2,1.6,6.145,Fitbit App
2022-07-06T15:54:00Z,19.0,1.2,7.324,18.0,2.0,7.661,-1.0,0.0,1.607,19.0,1.2,7.324,Fitbit App
2022-07-07T14:01:00Z,-1.0,0.0,1.952,-1.0,0.0,1.662,-1.0,0.0,1.294,0.0,0.0,1.952,Fitbit App
2022-07-09T10:30:30Z,17.6,1.8,7.369,-1.0,0.0,2.427,-1.0,0.0,1.91,17.6,1.8,7.369,Fitbit App
2022-07-11T08:41:00Z,17.8,1.0,10.553,-1.0,0.0,1.608,-1.0,0.0,1.881,17.8,1.0,10.553,Fitbit App
2022-07-15T08:15:00Z,19.0,1.3,5.56,18.0,1.4,7.376,-1.0,0.0,1.688,19.0,1.3,5.56,Fitbit App
2022-07-16T10:37:30Z,17.4,0.5,4.198,17.6,0.9,4.911,-1.0,0.0,1.571,17.4,0.5,4.198,Fitbit App
2022-07-17T11:21:00Z,14.8,1.3,4.068,15.8,1.4,5.042,-1.0,0.0,2.206,14.8,1.3,4.068,Fitbit App
2022-07-18T09:34:00Z,16.6,0.8,4.844,-1.0,0.0,2.3,-1.0,0.0,1.75,16.6,0.8,4.844,Fitbit App
2022-07-19T09:39:30Z,18.4,2.1,7.279,-1.0,0.0,1.861,-1.0,0.0,1.45,18.4,2.1,7.279,Fitbit App
2022-07-20T09:02:30Z,18.6,1.5,7.23,29.8,0.2,3.471,-1.0,0.0,1.242,18.6,1.5,7.23,Fitbit App
2022-07-21T06:54:00Z,17.6,1.3,11.74,18.2,2.3,6.658,-1.0,0.0,1.416,17.6,1.3,11.74,Fitbit App
2022-07-22T10:50:30Z,18.2,1.0,5.827,17.0,2.3,6.229,-1.0,0.0,1.191,18.2,1.0,5.827,Fitbit App
2022-07-23T13:39:00Z,18.6,1.8,5.524,16.8,0.8,4.55,-1.0,0.0,1.536,18.6,1.8,5.524,Fitbit App
2022-07-24T12:14:00Z,16.4,1.1,4.608,17.2,1.4,7.38,-1.0,0.0,2.254,16.4,1.1,4.608,Fitbit App
2022-07-25T10:03:30Z,18.0,2.2,5.301,-1.0,0.0,1.662,-1.0,0.0,1.666,18.0,2.2,5.301,Fitbit App
2022-07-26T09:09:00Z,17.0,1.4,6.778,17.4,1.4,8.121,0.6,0.4,2.654,17.0,1.4,6.778,Fitbit App
2022-07-27T08:09:00Z,17.8,0.6,5.377,17.4,2.1,8.639,-1.0,0.0,1.399,17.8,0.6,5.377,Fitbit App
2022-07-28T10:18:00Z,16.8,1.5,7.244,18.2,1.8,8.859,-1.0,0.0,1.558,16.8,1.5,7.244,Fitbit App
2022-07-29T07:55:30Z,17.8,1.4,6.125,17.6,1.8,6.192,-1.0,0.0,1.848,17.8,1.4,6.125,Fitbit App
2022-07-30T08:59:00Z,17.8,0.7,7.482,18.0,2.5,9.862,-1.0,0.0,2.142,17.8,0.7,7.482,Fitbit App
2022-07-31T08:56:30Z,17.0,1.5,7.204,17.6,0.9,5.033,-1.0,0.0,2.034,17.0,1.5,7.204,Fitbit App
