timestamp,body fat percentage,data source
2019-06-04T04:58:28Z,37.603,Withings Fitbit 3P Web API
2019-06-05T05:35:45Z,39.434,Withings Fitbit 3P Web API
2019-06-06T05:38:36Z,38.532,Withings Fitbit 3P Web API
2019-06-07T05:43:01Z,38.665,Withings Fitbit 3P Web API
2019-06-08T13:30:20Z,38.532,Withings Fitbit 3P Web API
2019-06-11T05:30:28Z,40.037,Withings Fitbit 3P Web API
2019-06-12T05:41:44Z,40.654,Withings Fitbit 3P Web API
2019-06-13T07:54:15Z,39.761,Withings Fitbit 3P Web API
2019-06-14T05:20:37Z,38.06,Withings Fitbit 3P Web API
2019-06-15T09:22:43Z,36.702,Withings Fitbit 3P Web API
