timestamp,deep sleep stats - milli breaths per minute,deep sleep stats - standard deviation milli breaths per minute,deep sleep stats - signal to noise,light sleep stats - milli breaths per minute,light sleep stats - standard deviation milli breaths per minute,light sleep stats - signal to noise,rem sleep stats - milli breaths per minute,rem sleep stats - standard deviation milli breaths per minute,rem sleep stats - signal to noise,full sleep stats - milli breaths per minute,full sleep stats - standard deviation milli breaths per minute,full sleep stats - signal to noise,data source
2021-11-01T09:14:00Z,16.6,1.2,4.461,0.0,0.0,0.0,-1.0,0.0,2.022,17.6,1.0,9.874,Fitbit App
2021-11-02T08:41:00Z,17.8,1.4,5.212,0.0,0.0,0.0,-1.0,0.0,2.355,17.0,1.4,4.243,Fitbit App
2021-11-03T11:06:30Z,16.8,1.0,5.871,0.0,0.0,0.0,10.2,0.4,2.633,17.4,1.4,8.912,Fitbit App
2021-11-04T09:34:30Z,17.0,1.1,4.046,0.0,0.0,0.0,-1.0,0.0,2.056,17.0,1.1,4.046,Fitbit App
2021-11-05T10:16:00Z,18.4,2.2,4.686,0.0,0.0,0.0,-1.0,0.0,2.095,17.6,2.1,6.25,Fitbit App
2021-11-06T09:00:30Z,16.6,1.2,8.021,0.0,0.0,0.0,-1.0,0.0,2.132,17.6,0.9,7.873,Fitbit App
2021-11-07T08:28:30Z,16.6,1.8,4.235,0.0,0.0,0.0,-1.0,0.0,1.356,16.6,1.8,4.235,Fitbit App
2021-11-08T09:14:00Z,16.0,1.0,9.287,0.0,0.0,0.0,-1.0,0.0,2.009,16.2,0.7,5.135,Fitbit App
2021-11-09T05:52:30Z,17.8,1.3,5.697,0.0,0.0,0.0,-1.0,0.0,1.244,18.0,1.0,4.923,Fitbit App
2021-11-10T08:49:30Z,16.6,1.5,7.791,0.0,0.0,0.0,-1.0,0.0,1.627,17.4,1.7,5.793,Fitbit App
2021-11-11T08:22:00Z,17.0,2.1,6.509,0.0,0.0,0.0,-1.0,0.0,1.424,16.6,1.3,5.499,Fitbit App
2021-11-12T08:46:00Z,16.6,1.6,5.036,0.0,0.0,0.0,-1.0,0.0,1.588,17.4,0.9,4.653,Fitbit App
2021-11-13T09:15:00Z,-1.0,0.0,1.908,0.0,0.0,0.0,-1.0,0.0,1.56,18.4,1.0,7.626,Fitbit App
2021-11-14T06:22:00Z,18.0,2.1,5.831,0.0,0.0,0.0,-1.0,0.0,1.455,18.0,2.1,5.831,Fitbit App
2021-11-14T08:33:00Z,16.4,0.9,5.969,0.0,0.0,0.0,-1.0,0.0,1.599,16.4,0.9,5.969,Fitbit App
2021-11-16T08:21:00Z,16.4,1.7,5.946,0.0,0.0,0.0,-1.0,0.0,1.975,17.0,0.9,8.257,Fitbit App
2021-11-17T06:45:00Z,17.2,1.7,5.394,0.0,0.0,0.0,-1.0,0.0,2.094,18.6,0.8,6.446,Fitbit App
2021-11-18T06:44:00Z,18.0,1.6,5.823,0.0,0.0,0.0,-1.0,0.0,1.337,17.2,1.0,8.668,Fitbit App
2021-11-19T08:08:00Z,17.6,1.4,6.418,0.0,0.0,0.0,-1.0,0.0,1.348,17.8,1.4,5.566,Fitbit App
2021-11-20T09:25:30Z,16.4,0.9,4.823,0.0,0.0,0.0,-1.0,0.0,2.293,19.4,1.2,7.008,Fitbit App
2021-11-21T11:30:30Z,-1.0,0.0,1.419,0.0,0.0,0.0,-1.0,0.0,1.74,0.0,0.0,2.194,Fitbit App
2021-11-22T08:09:00Z,-1.0,0.0,1.795,0.0,0.0,0.0,-1.0,0.0,2.056,18.0,1.0,6.073,Fitbit App
2021-11-23T09:00:00Z,16.6,1.9,6.522,0.0,0.0,0.0,12.2,0.7,3.21,16.2,1.2,8.095,Fitbit App
2021-11-24T07:53:00Z,15.8,1.3,4.584,0.0,0.0,0.0,-1.0,0.0,2.266,15.8,1.3,4.584,Fitbit App
2021-11-25T07:23:30Z,16.6,0.8,3.738,0.0,0.0,0.0,-1.0,0.0,1.828,16.6,0.8,3.738,Fitbit App
2021-11-26T07:44:30Z,-1.0,0.0,2.209,0.0,0.0,0.0,-1.0,0.0,1.962,0.0,0.0,2.344,Fitbit App
2021-11-27T12:47:30Z,17.4,1.1,4.268,0.0,0.0,0.0,-1.0,0.0,1.694,18.8,1.3,5.154,Fitbit App
2021-11-28T09:47:00Z,15.6,0.6,3.714,0.0,0.0,0.0,-1.0,0.0,2.029,17.2,1.2,4.256,Fitbit App
2021-11-28T12:01:00Z,15.4,0.7,4.306,0.0,0.0,0.0,-1.0,0.0,1.94,17.4,1.5,4.991,Fitbit App
2021-11-29T08:53:00Z,16.8,1.5,4.662,0.0,0.0,0.0,-1.0,0.0,1.83,16.8,1.5,4.662,Fitbit App
2021-11-30T04:54:00Z,18.4,0.7,5.724,0.0,0.0,0.0,-1.0,0.0,1.708,18.4,1.6,5.047,Fitbit App
2021-11-30T14:33:00Z,-1.0,0.0,1.655,0.0,0.0,0.0,-1.0,0.0,1.444,0.0,0.0,2.211,Fitbit App
