timestamp,body fat percentage,data source
2020-04-01T07:10:12Z,35.935,Withings Fitbit 3P Web API
2020-04-02T06:30:34Z,34.318,Withings Fitbit 3P Web API
2020-04-03T15:41:53Z,34.269,Withings Fitbit 3P Web API
2020-04-04T10:22:28Z,35.385,Withings Fitbit 3P Web API
2020-04-06T06:48:08Z,36.025,Withings Fitbit 3P Web API
2020-04-07T07:48:29Z,35.564,Withings Fitbit 3P Web API
2020-04-08T06:51:31Z,35.005,Withings Fitbit 3P Web API
2020-04-09T09:51:29Z,35.271,Withings Fitbit 3P Web API
2020-04-10T08:37:44Z,34.502,Withings Fitbit 3P Web API
2020-04-11T08:59:09Z,35.465,Withings Fitbit 3P Web API
2020-04-12T09:24:00Z,33.768,Withings Fitbit 3P Web API
2020-04-13T09:53:46Z,35.779,Withings Fitbit 3P Web API
2020-04-14T09:00:27Z,34.505,Withings Fitbit 3P Web API
2020-04-15T05:25:37Z,34.517,Withings Fitbit 3P Web API
2020-04-16T10:09:14Z,34.182,Withings Fitbit 3P Web API
2020-04-17T11:43:08Z,34.88,Withings Fitbit 3P Web API
2020-04-18T08:37:34Z,34.155,Withings Fitbit 3P Web API
2020-04-19T10:21:00Z,35.193,Withings Fitbit 3P Web API
2020-04-20T08:50:57Z,34.948,Withings Fitbit 3P Web API
2020-04-21T09:05:36Z,35.82,Withings Fitbit 3P Web API
2020-04-22T08:34:46Z,36.32,Withings Fitbit 3P Web API
2020-04-23T10:20:55Z,36.296,Withings Fitbit 3P Web API
2020-04-24T06:31:09Z,34.381,Withings Fitbit 3P Web API
2020-04-25T07:21:09Z,33.739,Withings Fitbit 3P Web API
2020-04-26T09:25:11Z,34.245,Withings Fitbit 3P Web API
2020-04-29T08:41:44Z,35.748,Withings Fitbit 3P Web API
2020-04-30T08:20:57Z,35.481,Withings Fitbit 3P Web API
