timestamp,deep sleep stats - milli breaths per minute,deep sleep stats - standard deviation milli breaths per minute,deep sleep stats - signal to noise,light sleep stats - milli breaths per minute,light sleep stats - standard deviation milli breaths per minute,light sleep stats - signal to noise,rem sleep stats - milli breaths per minute,rem sleep stats - standard deviation milli breaths per minute,rem sleep stats - signal to noise,full sleep stats - milli breaths per minute,full sleep stats - standard deviation milli breaths per minute,full sleep stats - signal to noise,data source
2025-10-01T05:14:30Z,-1.0,-1.0,-1.0,16.0,1.0,4.9,-1.0,-1.0,-1.0,16.0,1.0,4.9,Fitbit App
2025-10-01T07:16:30Z,-1.0,0.0,2.407,17.4,1.8,6.599,12.0,0.5,2.858,17.4,1.8,6.599,Fitbit App
2025-10-02T05:15:30Z,-1.0,-1.0,-1.0,17.4,2.6,7.3,-1.0,-1.0,-1.0,17.4,2.6,7.3,Fitbit App
2025-10-02T07:15:30Z,18.6,1.2,5.762,15.8,1.7,5.8,-1.0,0.0,1.78,18.6,1.2,5.762,Fitbit App
2025-10-03T06:47:30Z,17.0,0.9,5.5,18.4,2.0,6.8,-1.0,-1.0,-1.0,17.0,0.9,5.5,Fitbit App
2025-10-03T08:54:30Z,16.8,1.9,6.529,17.2,1.9,4.714,-1.0,0.0,2.02,16.8,1.9,6.529,Fitbit App
2025-10-04T05:27:00Z,17.2,1.1,5.7,17.2,2.3,6.7,-1.0,-1.0,-1.0,17.2,1.1,5.7,Fitbit App
2025-10-04T07:20:30Z,17.6,1.7,6.035,17.2,2.2,7.61,-1.0,0.0,1.505,17.6,1.7,6.035,Fitbit App
2025-10-04T19:37:30Z,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,Fitbit App
2025-10-04T21:36:30Z,-1.0,0.0,1.734,-1.0,0.0,1.972,-1.0,0.0,1.699,0.0,0.0,1.734,Fitbit App
2025-10-05T05:59:00Z,17.8,1.7,7.4,17.0,2.0,8.6,22.2,0.4,3.8,17.8,1.7,7.4,Fitbit App
2025-10-05T07:59:00Z,17.6,1.6,7.468,17.0,2.0,8.848,15.4,1.5,4.436,17.6,1.6,7.468,Fitbit App
2025-10-06T05:00:30Z,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,Fitbit App
2025-10-06T07:04:30Z,-1.0,0.0,2.384,-1.0,0.0,2.115,-1.0,0.0,1.681,0.0,0.0,2.384,Fitbit App
2025-10-07T04:56:30Z,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,Fitbit App
2025-10-07T06:56:30Z,-1.0,0.0,1.848,-1.0,0.0,1.89,-1.0,0.0,1.87,0.0,0.0,1.848,Fitbit App
2025-10-08T04:29:30Z,18.6,1.9,5.1,18.0,1.9,7.3,-1.0,-1.0,-1.0,18.6,1.9,5.1,Fitbit App
2025-10-08T06:32:30Z,18.6,1.6,6.144,18.4,2.1,7.18,-1.0,0.0,1.719,18.6,1.6,6.144,Fitbit App
2025-10-09T05:10:30Z,18.0,1.5,5.0,17.8,2.0,6.8,-1.0,-1.0,-1.0,18.0,1.5,5.0,Fitbit App
